name,district,reason
Continental Gin Building,Deep Ellum,"Converted from artist lofts to office/coworking spec suites; no residential component, fails 'live' half of live/work (kept in shortlist only as a studio-only note)"
Bell CityLine,Richardson CityLine,"Generic luxury apartments; not loft construction; no live/work or client use; standard residential lease"
The Standard at CityLine,Richardson CityLine,"Generic luxury apartments; not lofts; no work/client use"
Anthem CityLine,Richardson CityLine,"Generic luxury apartments; not lofts; no work/client use"
The Riley (CityLine),Richardson CityLine,"Generic luxury apartments; not lofts; no work/client use"
The Lyla (CityLine),Richardson CityLine,"Luxury mid-rise; high ceilings advertised but not industrial loft; no live/work tolerance"
SYNC CityLine,Richardson CityLine,"9-ft ceilings, standard luxury units; below loft bar; no work/client use"
Sheridan Park at Spring Creek,East Plano,"Suburban garden apartments; not loft; no live/work tolerance"
Somerset at Spring Creek,East Plano,"Suburban garden apartments; not loft; no live/work tolerance"
Greenbriar Apartments,East Plano,"Suburban garden apartments; not loft; no live/work tolerance"
The Gio,East Plano,"Standard suburban apartments; not loft; no live/work tolerance"
Cortland Addison Circle,Addison,"Conventional luxury apartments; loft styling absent; client/commercial use prohibited by lease"
AMLI Addison,Addison,"Conventional luxury apartments; not loft construction; no work/client use"
Southside Flats (Jefferson),The Cedars,"New-build luxury apartments near NYLO; not historic loft; work/client use not supported"
Trend Design District,Design District,"New-build luxury apartments with loft styling; no dedicated storefront live/work units identified; client use not supported (verify if interested)"
Legacy West / Shops at Legacy,Plano,"Corporate/luxury mixed-use; ground-floor retail is commercial-only leasing, residential units are standard luxury; no affordable live/work loft inventory at target budget"
